sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
IC_002_start_node1,"No, it's worse than that. >kssks< They're not people, and they're not related to each other. They're >hsskskks<","No, it's worse than that. >kssks< They're not people, and they're not related to each other. They're >hsskskks<"
IC_002_start_node2,"I said, they're >ffsskkksks< that are extremely >sskksksks< when they >kskksksk<","I said, they're >ffsskkksks< that are extremely >sskksksks< when they >kskksksk<"
IC_002_start_node3,[silence],[silence]
IC_002_start_transition0_1,The Forest Brotherhood? So a bunch of guys who are related to each other just hanging out in the forest?,The Forest Brotherhood? So a bunch of guys who are related to each other just hanging out in the forest?
IC_002_start_transition1_1,Sorry I didn't get that. Repeat please. Over.,Sorry I didn't get that. Repeat please. Over.
IC_002_start_transition2_1,*shake the radio set*,*shake the radio set*
IC_002_start_transition3_1,*turn off the radio set and sigh mournfully*,*turn off the radio set and sigh mournfully*
IC_002_guard_new_node0,"Rooty Toot Toot! Hail and well met, stranger! Welcome to the Forest Brotherhood. You appear to be friendly, but my goodness, one just doesn't know. Ho ho! Might I inquire what your business is in this part of the Dark, Dark Woods?","Rooty Toot Toot! Hail and well met, stranger! Welcome to the Forest Brotherhood. You appear to be friendly, but my goodness, one just doesn't know. Ho ho! Might I inquire what your business is in this part of the Dark, Dark Woods?"
IC_002_guard_new_node1,"I see. Oh yes, Indeed I do! Hoo hoo! The leader is away at the moment. In fact, he is on a mission. A marvelous mission! A mission to save the Foxes' very livelihood! But who might you be, and why would you like to see him?","I see. Oh yes, Indeed I do! Hoo hoo! The leader is away at the moment. In fact, he is on a mission. A marvelous mission! A mission to save the Foxes' very livelihood! But who might you be, and why would you like to see him?"
IC_002_guard_new_node2,"Very good! The Forest Brotherhood is always happy to help those on a mission. Our leader is to the north of here, and if you were to join his group and help them on their secret mission, he would be sure to do whatever he can to assist you! Godspeed and farewell!","Very good! The Forest Brotherhood is always happy to help those on a mission. Our leader is to the north of here, and if you were to join his group and help them on their secret mission, he would be sure to do whatever he can to assist you! Godspeed and farewell!"
IC_002_guard_new_node3,"How rude. Very well, I will tell you that he is a great distance from here either North or South. I cannot say which. It is a riddle!","How rude. Very well, I will tell you that he is a great distance from here either North or South. I cannot say which. It is a riddle!"
IC_002_guard_new_transition0_1,Uh... hi. I'd like to talk with your leader. I've got to figure out how to get out of here.,Uh... hi. I'd like to talk with your leader. I've got to figure out how to get out of here.
IC_002_guard_new_transition1_1,My name is Gromov. I'm not from here. I need some help to get home.,My name is Gromov. I'm not from here. I need some help to get home.
IC_002_guard_new_transition1_2,"My name is none of your business, and coincidentally, my reasons are none of your business, too.","My name is none of your business, and coincidentally, my reasons are none of your business, too."
IC_002_guard_new_transition2_1,"Okay, thanks a bunch, Fox Man!","Okay, thanks a bunch, Fox Man!"
IC_002_guard_new_transition3_1,Humph.,Humph.
IC_002_guard_new_transition3_2,*sigh* Sorry I was so short with you. Life is stressful when you're wandering around with your memories all screwed up.,*sigh* Sorry I was so short with you. Life is stressful when you're wandering around with your memories all screwed up.
IC_002_shaman_node0,Hi Zac!,Hi Zac!
IC_002_shaman_node1,Don’t you remember anything?,Don’t you remember anything?
IC_002_shaman_node2,You haven’t changed... Do you need any junk again?,You haven’t changed... Do you need any junk again?
IC_002_shaman_node3,He left with the tribe. We haven’t heard from them for a long time.,He left with the tribe. We haven’t heard from them for a long time.
IC_002_shaman_node4,Northern lands *shows with her hand*,Northern lands *shows with her hand*
IC_002_shaman_transition0_1,*how did she learn my name?*,*how did she learn my name?*
IC_002_shaman_transition1_1,*say nothing*,*say nothing*
IC_002_shaman_transition2_1,"Junk? What junk? No, I need your boss.","Junk? What junk? No, I need your boss."
IC_002_shaman_transition3_1,Which way did they go?,Which way did they go?
IC_002_shaman_transition4_1,Thank you very much!,Thank you very much!
IC_002_treasure_node0,Halt! You there! Stay away from this chest! Leader's orders!,Halt! You there! Stay away from this chest! Leader's orders!
IC_002_treasure_node1,"[salutes] Flenrik the Steady, accountant second class. Yes, I've been tasked with making an inventory of all the treasure we found. It's not glorious work, but it's still important! Why, just the other day I--","[salutes] Flenrik the Steady, accountant second class. Yes, I've been tasked with making an inventory of all the treasure we found. It's not glorious work, but it's still important! Why, just the other day I--"
IC_002_treasure_node2,"Oh, them? They went north. Treasure isn't really the main goal of this expedition, if you catch my drift. Wink, wink. Secret stuff. I can't tell you. It's classified. So don't even ask, because I will never ever--","Oh, them? They went north. Treasure isn't really the main goal of this expedition, if you catch my drift. Wink, wink. Secret stuff. I can't tell you. It's classified. So don't even ask, because I will never ever--"
IC_002_treasure_transition0_1,"Uh... hi. Don't worry, I wasn't going to take anything. Are you one of the expedition members?","Uh... hi. Don't worry, I wasn't going to take anything. Are you one of the expedition members?"
IC_002_treasure_transition1_1,"(Interrupt) Rrright. So, where did everybody else go?","(Interrupt) Rrright. So, where did everybody else go?"
IC_002_treasure_transition2_1,"(Interrupt) Okay, thanks, bye!","(Interrupt) Okay, thanks, bye!"
IC_002_chest_guard_node0,"Hey! I already told you! This chest belongs to the great Fox Brotherhood. I'm guarding it! If you steal some, my inventory is all messed up! I'm trying to to a good job here, and you're--","Hey! I already told you! This chest belongs to the great Fox Brotherhood. I'm guarding it! If you steal some, my inventory is all messed up! I'm trying to to a good job here, and you're--"
